Date,PS,QV2M,AVG_TS,T2M_RANGE,T2M_MAX,T2M_MIN
01/01/15,87.84,5.49,11.38,7.71,20,12.29
01/02/15,87.93,7.69,12.34,6.69,17.98,11.29
01/03/15,87.86,8.61,14.1,10.88,21.02,10.15
01/04/15,87.62,7.32,11.45,10,18.15,8.15
01/05/15,87.35,6.53,9.03,11.25,16.98,5.73
01/06/15,87.46,6.04,8.22,10.04,16.91,6.87
01/07/15,87.4,5.43,7.77,8.87,15.96,7.09
01/08/15,87.52,5.68,6.9,6.88,13.98,7.1
01/09/15,87.63,4.39,7.16,12.88,16.98,4.11
01/10/15,87.66,3.91,6.69,13.42,17.3,3.89
01/11/15,87.79,4.03,7.05,12.19,17.86,5.67
01/12/15,87.78,4.09,7.01,10.1,17.26,7.16
01/13/15,87.74,4.76,7.91,10.33,17.94,7.62
01/14/15,87.73,5.19,8.8,9.54,18.71,9.17
01/15/15,87.79,4.94,8.63,9.7,18.09,8.4
01/16/15,87.75,4.64,8.64,11.28,17.73,6.44
01/17/15,87.67,4.58,7.96,11.2,17.04,5.83
01/18/15,87.61,4.33,7.48,12.12,16.85,4.73
01/19/15,87.71,4.33,7.43,10.31,16.94,6.62
01/20/15,87.9,4.21,7.21,11.1,16.51,5.41
01/21/15,88.13,4.03,7.94,9.66,18.19,8.53
01/22/15,88.01,4.15,8.62,9.45,19.12,9.68
01/23/15,87.76,5.31,10.15,9.04,18.47,9.43
01/24/15,87.74,5,9.55,10.4,18.69,8.3
01/25/15,87.89,4.94,9.58,11.21,19.37,8.15
01/26/15,87.88,4.7,10.48,11.02,19.62,8.59
01/27/15,87.76,6.65,10.01,6.5,15.62,9.11
01/28/15,87.62,5.31,10.32,10.75,18.94,8.19
01/29/15,87.69,5.19,10.33,11.27,18.34,7.08
01/30/15,87.63,4.88,8.12,9.38,15.03,5.65
01/31/15,87.64,3.72,7.59,11.79,16.57,4.77
02/01/15,87.75,3.97,7.66,10.52,16.5,5.98
02/02/15,87.96,4.39,9.75,11.45,19.15,7.72
02/03/15,88.16,4.58,11.33,12.61,21.58,8.98
02/04/15,87.93,5.62,11.89,10.71,20.33,9.62
02/05/15,87.8,5.25,10.83,11.62,19.72,8.1
02/06/15,87.78,5.25,10.33,12.11,19.22,7.11
02/07/15,87.7,4.64,10.33,11.74,19.8,8.05
02/08/15,87.73,4.64,10.9,11.24,20.48,9.23
02/09/15,87.82,4.39,10.8,10.05,19.59,9.55
02/10/15,87.82,4.46,10.57,11.02,19.67,8.65
02/11/15,87.69,4.21,10.56,10.72,19.43,8.71
02/12/15,87.51,4.27,10.6,9.73,18.73,8.99
