Date,PS,QV2M,AVG_TS,T2M_RANGE,T2M_MAX,T2M_MIN
2000/1/1,87.67,2.32,7.41,11.3,18.8,7.49
2000/1/2,87.63,2.38,8.07,11.36,20.19,8.83
2000/1/3,87.5,2.32,7.77,10.91,19.48,8.57
2000/1/4,87.48,2.32,7.77,12.27,19.65,7.38
2000/1/5,87.54,2.2,7.9,12.14,19.87,7.73
2000/1/6,87.44,2.08,7.64,11.53,19.73,8.19
2000/1/7,87.49,2.08,7.15,12.67,18.37,5.69
2000/1/8,87.44,2.08,7.05,9.71,17.33,7.62
2000/1/9,87.45,2.44,7.8,10.61,17.9,7.3
2000/1/10,87.41,3.6,9.43,11.09,18.77,7.69
2000/1/11,87.56,3.97,10.05,10.9,20.14,9.24
2000/1/12,87.5,3.3,10.29,11.84,21.42,9.58
2000/1/13,87.4,4.39,12.05,11.77,21.65,9.89
2000/1/14,87.28,4.82,11.76,10.99,19.6,8.61
2000/1/15,87.41,3.17,9.92,12.72,19.9,7.18
2000/1/16,87.6,2.38,8.77,14.13,19.51,5.37
2000/1/17,87.59,1.77,8.05,13.19,19.91,6.73
2000/1/18,87.67,1.83,8,15.43,19.98,4.55
2000/1/19,87.38,2.01,8.32,12.28,19.23,6.95
2000/1/20,87.1,3.05,8.84,10.57,18.25,7.68
2000/1/21,87.51,3.6,9.04,10.52,17.52,7.01
2000/1/22,87.58,3.42,9.09,11.55,18.3,6.76
2000/1/23,87.51,3.48,8.95,10.62,17.83,7.21
2000/1/24,87.73,3.66,9.09,11.12,17.89,6.76
2000/1/25,87.87,3.17,9,11.66,18.64,6.98
2000/1/26,87.87,2.81,9.64,11.95,19.9,7.95
2000/1/27,87.69,3.05,9.77,11.73,19.59,7.86
2000/1/28,87.57,3.42,9.97,11.89,19.15,7.26
2000/1/29,87.5,3.05,9.19,11.67,19.05,7.38
2000/1/30,87.7,2.2,8.53,14.65,19.69,5.05
2000/1/31,87.85,2.26,8.61,11.48,18.87,7.39
2000/2/1,87.62,3.05,8.63,10.38,16.42,6.04
2000/2/2,87.54,6.1,8.55,7.7,13.76,6.07
2000/2/3,87.67,4.7,10.55,12.12,18.87,6.75
2000/2/4,87.58,3.17,10.28,11.63,19.48,7.84
2000/2/5,87.43,3.48,12.12,12.73,21.14,8.4
2000/2/6,87.44,6.23,10.91,8.59,15.45,6.87
2000/2/7,87.38,5.55,11.44,11.24,18.05,6.8
2000/2/8,87.41,3.72,10.5,12.8,19.53,6.73
2000/2/9,87.36,2.32,8.8,11.92,18.15,6.23
2000/2/10,87.44,2.14,8.87,12.8,19.07,6.26
2000/2/11,87.51,2.62,10.46,14.69,19.83,5.15
2000/2/12,87.55,5.8,11.55,11.55,18.08,6.54
2000/2/13,87.5,3.23,11.53,13.95,20.9,6.95
2000/2/14,87.52,2.5,10.65,13.26,20.14,6.88
2000/2/15,87.52,2.5,10.35,14.2,20.55,6.34
2000/2/16,87.42,2.38,12.01,13.75,21.9,8.16
2000/2/17,87.19,2.32,10.59,12.62,20.13,7.52
2000/2/18,87.21,1.71,9.38,14.15,19.09,4.95
2000/2/19,87.28,1.53,8.9,13.74,18.77,5.03
